Date,Montant Dette,APR,Taux Journalier,Interet Journalier,Interet Cumule,Transaction
2024-10-18,161122346.403256,10.033767%,0.027490%,44279.993359,3860839.159023,
2024-10-19,161166150.294076,9.923155%,0.027187%,43803.890819,3904643.049842,
2024-10-20,161212594.674715,10.518461%,0.028818%,46444.380639,3951087.430481,
2024-10-21,161256108.141436,9.851845%,0.026991%,43513.466722,3994600.897203,
2024-10-22,161299565.189485,9.836417%,0.026949%,43457.048048,4038057.945251,
2024-10-23,161338944.129001,8.910943%,0.024414%,39378.939516,4077436.884768,
2024-10-24,161374191.293247,7.974029%,0.021847%,35247.164246,4112684.049013,
2024-10-25,161403277.011780,6.578677%,0.018024%,29085.718533,4141769.767547,
2024-10-26,161436682.801992,7.554440%,0.020697%,33405.790212,4175175.557759,
2024-10-27,161478744.757437,9.509991%,0.026055%,42061.955444,4217237.513203,
2024-10-27,161520817.672026,9.509991%,0.026055%,42072.914590,4259310.427793,
2024-10-28,161561932.311125,9.290965%,0.025455%,41114.639099,4300425.066892,
2024-10-29,161596232.054427,7.748983%,0.021230%,34299.743302,4334724.810194,
2024-10-30,161632683.424731,8.233329%,0.022557%,36451.370304,4371176.180498,
2024-10-31,161673669.613655,9.255528%,0.025358%,40986.188923,4412162.369421,
2024-11-01,161708531.264981,7.870486%,0.021563%,34861.651327,4447024.020748,
2024-11-02,161746085.763752,8.476604%,0.023224%,37554.498770,4484578.519518,
2024-11-03,161784518.895685,8.672910%,0.023761%,38433.131934,4523011.651452,
2024-11-04,161820512.314079,8.120429%,0.022248%,35993.418394,4559005.069846,
2024-11-05,161854385.669672,7.640425%,0.020933%,33873.355593,4592878.425438,
2024-11-06,161888659.773971,7.729199%,0.021176%,34274.104299,4627152.529738,
2024-11-07,161923273.754831,7.804193%,0.021381%,34613.980860,4661766.510597,
2024-11-08,161958310.858251,7.897903%,0.021638%,35037.103420,4696803.614018,
2024-11-09,161995044.526166,8.278543%,0.022681%,36733.667915,4733537.281933,
2024-11-10,162032932.054960,8.536649%,0.023388%,37887.528794,4771424.810726,
2024-11-11,162073852.624768,9.217884%,0.025254%,40920.569808,4812345.380534,
2024-11-12,162121893.528445,10.819099%,0.029641%,48040.903677,4860386.284211,
2024-11-13,162169457.574991,10.708533%,0.029338%,47564.046546,4907950.330758,
2024-11-14,162214931.927773,10.235058%,0.028041%,45474.352782,4953424.683540,
2024-11-15,162268761.676021,12.112238%,0.033184%,53829.748247,5007254.431787,
2024-11-16,162335269.638911,14.960000%,0.040986%,66507.962891,5073762.394678,
2024-11-17,162383471.228341,10.837805%,0.029693%,48201.589429,5121963.984107,
2024-11-18,162433295.087249,11.199236%,0.030683%,49823.858909,5171787.843016,
2024-11-19,162484056.956320,11.406579%,0.031251%,50761.869070,5222549.712086,
2024-11-20,162543631.784971,13.382736%,0.036665%,59574.828652,5282124.540738,
2024-11-21,162611927.084199,15.336057%,0.042017%,68295.299228,5350419.839966,
2024-11-22,162674329.213973,14.006831%,0.038375%,62402.129774,5412821.969740,
2024-11-23,162732626.629274,13.080464%,0.035837%,58297.415301,5471119.385040,
